Block,BoosterVersion,Date,FlightNumber,Flights,GridFins,LandingPad,Latitude,LaunchSite,Legs,Longitude,Orbit,Outcome,PayloadMass,Reused,ReusedCount,Serial
5.0,Falcon 9,2019-03-02,63,1,True,5e9e3032383ecb6bb234e7ca,28.6080585,KSC LC 39A,True,-80.6039558,ISS,True ASDS,12259.0,False,12,B1051
5.0,Falcon 9,2019-05-04,64,1,True,5e9e3032383ecb6bb234e7ca,28.5618571,CCSFS SLC 40,True,-80.577366,ISS,True ASDS,2482.0,False,3,B1056
5.0,Falcon 9,2019-05-24,65,3,True,5e9e3032383ecb6bb234e7ca,28.5618571,CCSFS SLC 40,True,-80.577366,VLEO,True ASDS,13200.0,True,9,B1049
5.0,Falcon 9,2019-06-12,66,2,True,5e9e3032383ecb554034e7c9,34.632093,VAFB SLC 4E,True,-120.610829,SSO,True RTLS,1425.0,True,12,B1051
5.0,Falcon 9,2019-07-25,67,2,True,5e9e3032383ecb267a34e7c7,28.5618571,CCSFS SLC 40,True,-80.577366,ISS,True RTLS,2227.7,True,3,B1056
5.0,Falcon 9,2019-08-06,68,3,False,,28.5618571,CCSFS SLC 40,False,-80.577366,GTO,None None,6500.0,True,2,B1047
5.0,Falcon 9,2019-11-11,69,4,True,5e9e3032383ecb6bb234e7ca,28.5618571,CCSFS SLC 40,True,-80.577366,VLEO,True ASDS,15600.0,True,4,B1048
5.0,Falcon 9,2019-12-05,70,1,True,5e9e3032383ecb6bb234e7ca,28.5618571,CCSFS SLC 40,True,-80.577366,ISS,True ASDS,5000.0,False,5,B1059
5.0,Falcon 9,2019-12-17,71,3,True,5e9e3032383ecb6bb234e7ca,28.5618571,CCSFS SLC 40,True,-80.577366,GTO,True ASDS,6800.0,True,3,B1056
5.0,Falcon 9,2020-01-07,72,4,True,5e9e3032383ecb6bb234e7ca,28.5618571,CCSFS SLC 40,True,-80.577366,VLEO,True ASDS,15600.0,True,9,B1049
5.0,Falcon 9,2020-01-19,73,4,False,,28.6080585,KSC LC 39A,False,-80.6039558,SO,None None,6123.547647058824,True,3,B1046
5.0,Falcon 9,2020-01-29,74,3,True,5e9e3032383ecb6bb234e7ca,28.5618571,CCSFS SLC 40,True,-80.577366,VLEO,True ASDS,15600.0,True,12,B1051
5.0,Falcon 9,2020-02-17,75,4,True,5e9e3032383ecb6bb234e7ca,28.5618571,CCSFS SLC 40,True,-80.577366,VLEO,False ASDS,15600.0,True,3,B1056
5.0,Falcon 9,2020-03-07,76,2,True,5e9e3032383ecb267a34e7c7,28.5618571,CCSFS SLC 40,True,-80.577366,ISS,True RTLS,1977.0,True,5,B1059
5.0,Falcon 9,2020-03-18,77,5,True,5e9e3032383ecb6bb234e7ca,28.6080585,KSC LC 39A,True,-80.6039558,VLEO,False ASDS,15600.0,True,4,B1048
5.0,Falcon 9,2020-04-22,78,4,True,5e9e3032383ecb6bb234e7ca,28.6080585,KSC LC 39A,True,-80.6039558,VLEO,True ASDS,15600.0,True,12,B1051
5.0,Falcon 9,2020-05-30,79,1,True,5e9e3032383ecb6bb234e7ca,28.6080585,KSC LC 39A,True,-80.6039558,ISS,True ASDS,9525.0,False,13,B1058
5.0,Falcon 9,2020-06-04,80,5,True,5e9e3033383ecbb9e534e7cc,28.5618571,CCSFS SLC 40,True,-80.577366,VLEO,True ASDS,15600.0,True,9,B1049
5.0,Falcon 9,2020-06-13,81,3,True,5e9e3032383ecb6bb234e7ca,28.5618571,CCSFS SLC 40,True,-80.577366,VLEO,True ASDS,15600.0,True,5,B1059
5.0,Falcon 9,2020-06-30,82,1,True,5e9e3033383ecbb9e534e7cc,28.5618571,CCSFS SLC 40,True,-80.577366,MEO,True ASDS,3880.0,False,12,B1060
5.0,Falcon 9,2020-07-20,83,2,True,5e9e3033383ecbb9e534e7cc,28.5618571,CCSFS SLC 40,True,-80.577366,GEO,True ASDS,6123.547647058824,True,13,B1058
5.0,Falcon 9,2020-08-18,84,6,True,5e9e3032383ecb6bb234e7ca,28.5618571,CCSFS SLC 40,True,-80.577366,VLEO,True ASDS,15600.0,True,9,B1049
5.0,Falcon 9,2020-08-30,85,4,True,5e9e3032383ecb267a34e7c7,28.5618571,CCSFS SLC 40,True,-80.577366,SSO,True RTLS,1600.0,True,5,B1059
5.0,Falcon 9,2020-09-03,86,2,True,5e9e3032383ecb6bb234e7ca,28.6080585,KSC LC 39A,True,-80.6039558,VLEO,True ASDS,15600.0,True,12,B1060
5.0,Falcon 9,2020-10-06,87,3,True,5e9e3032383ecb6bb234e7ca,28.6080585,KSC LC 39A,True,-80.6039558,VLEO,True ASDS,15600.0,True,13,B1058
5.0,Falcon 9,2020-10-18,88,6,True,5e9e3032383ecb6bb234e7ca,28.6080585,KSC LC 39A,True,-80.6039558,VLEO,True ASDS,15600.0,True,12,B1051
5.0,Falcon 9,2020-10-24,89,3,True,5e9e3033383ecbb9e534e7cc,28.5618571,CCSFS SLC 40,True,-80.577366,VLEO,True ASDS,15600.0,True,12,B1060
5.0,Falcon 9,2020-11-05,90,1,True,5e9e3032383ecb6bb234e7ca,28.5618571,CCSFS SLC 40,True,-80.577366,MEO,True ASDS,3681.0,False,8,B1062
